Eye_Left_Blink;Eye_Left_Wide;Eye_Left_Right;Eye_Left_Left;Eye_Left_Up;Eye_Left_Down;Eye_Right_Blink;Eye_Right_Wide;Eye_Right_Right;Eye_Right_Left;Eye_Right_Up;Eye_Right_Down;Eye_Frown;Eye_Left_Squeeze;Eye_Right_Squeeze;Jaw_Right;Jaw_Left;Jaw_Forward;Jaw_Open;Mouth_Ape_Shape;Mouth_Upper_Right;Mouth_Upper_Left;Mouth_Lower_Right;Mouth_Lower_Left;Mouth_Upper_Overturn;Mouth_Lower_Overturn;Mouth_Pout;Mouth_Smile_Right;Mouth_Smile_Left;Mouth_Sad_Right;Mouth_Sad_Left;Cheek_Puff_Right;Cheek_Puff_Left;Cheek_Suck;Mouth_Upper_UpRight;Mouth_Upper_UpLeft;Mouth_Lower_DownRight;Mouth_Lower_DownLeft;Mouth_Upper_Inside;Mouth_Lower_Inside;Mouth_Lower_Overlay;Tongue_LongStep1;Tongue_Left;Tongue_Right;Tongue_Up;Tongue_Down;Tongue_Roll;Tongue_LongStep2;Tongue_UpRight_Morph;Tongue_UpLeft_Morph;Tongue_DownRight_Morph;Tongue_DownLeft_Morph;EmotionNum;Emotion
"0,000000 ";"0,143556 ";"0,062867 ";"-0,062867 ";"0,143556 ";"0,180122 ";"0,000000 ";"0,143556 ";"0,062867 ";"-0,062867 ";"0,143556 ";"0,180122 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,074286 ";"0,000000 ";"0,148337 ";"0,000000 ";"0,000000 ";"0,116832 ";"0,000000 ";"0,129915 ";"0,216496 ";"0,101927 ";"0,339531 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,359560 ";"0,364207 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"1,000000 ";Afraid
"0,000000 ";"0,281156 ";"0,063703 ";"-0,063703 ";"0,281156 ";"0,161791 ";"0,000000 ";"0,281156 ";"0,063703 ";"-0,063703 ";"0,281156 ";"0,161791 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,080654 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,099977 ";"0,000000 ";"0,065854 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,106434 ";"0,400627 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"2,000000 ";Angry
"0,121046 ";"0,000000 ";"0,060617 ";"-0,060617 ";"0,000000 ";"0,185561 ";"0,360418 ";"0,000000 ";"0,060617 ";"-0,060617 ";"0,000000 ";"0,185561 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,017553 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,028994 ";"0,000000 ";"0,025313 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,742054 ";"0,747073 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"3,000000 ";Disgust
"0,000000 ";"0,116391 ";"0,052347 ";"-0,052347 ";"0,116391 ";"0,158755 ";"0,000000 ";"0,116391 ";"0,052347 ";"-0,052347 ";"0,116391 ";"0,158755 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,070601 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,052210 ";"0,000000 ";"0,057670 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,534837 ";"0,410770 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,924522 ";"0,927310 ";"0,894630 ";"0,888761 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"4,000000 ";Happy
"0,000000 ";"0,128687 ";"0,056471 ";"-0,056471 ";"0,128687 ";"0,179889 ";"0,000000 ";"0,128687 ";"0,056471 ";"-0,056471 ";"0,128687 ";"0,179889 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,023234 ";"0,000163 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,039049 ";"0,000000 ";"0,035611 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"5,000000 ";Neutral
"0,008717 ";"0,041091 ";"0,059665 ";"-0,059665 ";"0,041091 ";"0,178049 ";"0,051836 ";"0,041091 ";"0,059665 ";"-0,059665 ";"0,041091 ";"0,178049 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,026988 ";"0,000000 ";"0,362476 ";"0,000000 ";"0,000000 ";"0,053790 ";"0,000000 ";"0,038306 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,239070 ";"0,188559 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,212332 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"6,000000 ";Sad
"0,011227 ";"0,197982 ";"0,057510 ";"-0,057510 ";"0,197982 ";"0,167533 ";"0,001642 ";"0,197982 ";"0,057510 ";"-0,057510 ";"0,197982 ";"0,167533 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,005353 ";"0,001133 ";"0,000000 ";"0,013358 ";"0,000000 ";"0,000000 ";"0,136558 ";"0,000000 ";"0,146197 ";"0,243563 ";"0,150136 ";"0,434610 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,268636 ";"0,266917 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,004271 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"7,000000 ";Surprised
"0,000000 ";"0,244656 ";"0,062671 ";"-0,062671 ";"0,244656 ";"0,164702 ";"0,000000 ";"0,244656 ";"0,062671 ";"-0,062671 ";"0,244656 ";"0,164702 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000129 ";"0,014648 ";"0,000000 ";"0,147358 ";"0,000000 ";"0,000000 ";"0,115206 ";"0,000000 ";"0,124809 ";"0,234096 ";"0,113485 ";"0,318578 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,429030 ";"0,424806 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,028957 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"1,000000 ";Afraid
"0,000220 ";"0,113769 ";"0,062168 ";"-0,062168 ";"0,113769 ";"0,157034 ";"0,008786 ";"0,113769 ";"0,062168 ";"-0,062168 ";"0,113769 ";"0,157034 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,122793 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,004841 ";"0,044320 ";"0,001025 ";"0,062867 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,105422 ";"0,098998 ";"0,240089 ";"0,250316 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,240161 ";"0,374181 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"2,000000 ";Angry
"0,000000 ";"0,067708 ";"0,051572 ";"-0,051572 ";"0,067708 ";"0,174936 ";"0,000000 ";"0,067708 ";"0,051572 ";"-0,051572 ";"0,067708 ";"0,174936 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,037525 ";"0,000000 ";"0,266534 ";"0,000000 ";"0,032865 ";"0,000000 ";"0,011426 ";"0,000164 ";"0,444197 ";"0,245782 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,928184 ";"0,913552 ";"0,134302 ";"0,144442 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"0,000000 ";"3,000000 ";Disgust
